x,y,time_stamp
3.2037279619272074,1.6840160159133362,1520420859.493569
3.2030077978680787,1.682283298820048,1520420859.653412
3.2044023331408478,1.6856292323558266,1520420859.81341
3.207160930673194,1.692287578293531,1520420859.973365
3.211076339589944,1.7016979276284014,1520420860.137416
3.217299183019709,1.7166148294667862,1520420860.297406
3.2236322542177183,1.7317629906771501,1520420860.457763
3.2301789211188283,1.7474227525115031,1520420860.617436
3.236617404089761,1.7628041805747698,1520420860.77744
3.2404735976794408,1.7720081846431424,1520420860.937959
3.241180046275192,1.773654128829552,1520420861.097394
3.2418983625796756,1.7753413660412543,1520420861.257651
3.2429878964730925,1.7778902598066728,1520420861.417413
3.244097610490541,1.7804769036942063,1520420861.577459
3.245108015071837,1.782827722416043,1520420861.741357
3.246827393829976,1.7868233870886059,1520420861.901504
3.2468942319285654,1.7869803334355572,1520420862.061444
3.2465571090357805,1.7861968654099354,1520420862.225602
3.2463548517034164,1.7857267775208472,1520420862.385402
3.246337990088825,1.7856876064724,1520420862.545366
3.246321128474234,1.785648435423953,1520420862.705359
3.246321128474234,1.785648435423953,1520420862.869512
3.246321128474234,1.785648435423953,1520420863.029378
3.246321128474234,1.785648435423953,1520420863.189674
3.246321128474234,1.785648435423953,1520420863.349452
3.246321128474234,1.785648435423953,1520420863.509383
3.246321128474234,1.785648435423953,1520420863.669478
3.246321128474234,1.785648435423953,1520420863.82945
3.246321128474234,1.785648435423953,1520420863.993423
3.246321128474234,1.785648435423953,1520420864.153569
3.246321128474234,1.785648435423953,1520420864.313439
3.246321128474234,1.785648435423953,1520420864.473425
3.246321128474234,1.785648435423953,1520420864.637365
3.246321128474234,1.785648435423953,1520420864.797378
3.246321128474234,1.785648435423953,1520420864.957827
3.246321128474234,1.785648435423953,1520420865.117818
3.246321128474234,1.785648435423953,1520420865.277401
3.246321128474234,1.785648435423953,1520420865.438101
3.246321128474234,1.785648435423953,1520420865.597408
3.246321128474234,1.785648435423953,1520420865.761403
3.246321128474234,1.785648435423953,1520420865.921719
3.246321128474234,1.785648435423953,1520420866.081727
3.246321128474234,1.785648435423953,1520420866.241404
3.246321128474234,1.785648435423953,1520420866.401546
3.246321128474234,1.785648435423953,1520420866.561406
3.246321128474234,1.785648435423953,1520420866.721557
3.246321128474234,1.785648435423953,1520420866.881872
3.246321128474234,1.785648435423953,1520420867.041402
3.246321128474234,1.785648435423953,1520420867.201392
3.246321128474234,1.785648435423953,1520420867.36137
3.246321128474234,1.785648435423953,1520420867.521408
3.246321128474234,1.785648435423953,1520420867.68174
3.246321128474234,1.785648435423953,1520420867.841408
3.246321128474234,1.785648435423953,1520420868.001499
3.246321128474234,1.785648435423953,1520420868.161369
3.246321128474234,1.785648435423953,1520420868.321428
3.246321128474234,1.785648435423953,1520420868.48163
3.246321128474234,1.785648435423953,1520420868.641409
3.246321128474234,1.785648435423953,1520420868.801356
3.246321128474234,1.785648435423953,1520420868.96205
3.246321128474234,1.785648435423953,1520420869.121405
3.246321128474234,1.785648435423953,1520420869.281574
3.246321128474234,1.785648435423953,1520420869.44191
3.246321128474234,1.785648435423953,1520420869.601363
3.246321128474234,1.785648435423953,1520420869.761487
3.246321128474234,1.785648435423953,1520420869.921383
3.246321128474234,1.785648435423953,1520420870.081615
3.246321128474234,1.785648435423953,1520420870.241397
3.246321128474234,1.785648435423953,1520420870.401424
3.246321128474234,1.785648435423953,1520420870.56136
3.246321128474234,1.785648435423953,1520420870.721404
3.246321128474234,1.785648435423953,1520420870.881571
3.246321128474234,1.785648435423953,1520420871.041408
3.246321128474234,1.785648435423953,1520420871.201355
3.246321128474234,1.785648435423953,1520420871.361582
3.246321128474234,1.785648435423953,1520420871.521383
3.246321128474234,1.785648435423953,1520420871.681619
3.246321128474234,1.785648435423953,1520420871.841407
3.246321128474234,1.785648435423953,1520420872.001333
3.246321128474234,1.785648435423953,1520420872.161573
3.246321128474234,1.785648435423953,1520420872.321379
3.246321128474234,1.785648435423953,1520420872.481778
3.246321128474234,1.785648435423953,1520420872.641752
3.246321128474234,1.785648435423953,1520420872.801405
3.246321128474234,1.785648435423953,1520420872.962354
3.246321128474234,1.785648435423953,1520420873.121361
3.246321128474234,1.785648435423953,1520420873.281484
3.246321128474234,1.785648435423953,1520420873.441665
3.246321128474234,1.785648435423953,1520420873.601434
3.246321128474234,1.785648435423953,1520420873.761468
3.246321128474234,1.785648435423953,1520420873.921385
3.246321128474234,1.785648435423953,1520420874.081419
3.246321128474234,1.785648435423953,1520420874.241644
3.246321128474234,1.785648435423953,1520420874.401402
3.246321128474234,1.785648435423953,1520420874.561414
3.246321128474234,1.785648435423953,1520420874.721368
3.246321128474234,1.785648435423953,1520420874.881431
3.246321128474234,1.785648435423953,1520420875.041389
3.246321128474234,1.785648435423953,1520420875.201429
3.246321128474234,1.785648435423953,1520420875.361403
3.246321128474234,1.785648435423953,1520420875.521626
3.246321128474234,1.785648435423953,1520420875.681372
3.246321128474234,1.785648435423953,1520420875.841626
3.246321128474234,1.785648435423953,1520420876.001415
3.246321128474234,1.785648435423953,1520420876.161365
3.246321128474234,1.785648435423953,1520420876.321524
3.246321128474234,1.785648435423953,1520420876.481377
3.246321128474234,1.785648435423953,1520420876.641551
3.246321128474234,1.785648435423953,1520420876.801402
3.246321128474234,1.785648435423953,1520420876.961467
3.2524000851930386,1.7997462277318543,1520420877.121373
3.2582300418902648,1.813208304885752,1520420877.281398
3.2621938783025826,1.822366466164883,1520420877.441797
3.2648021160818557,1.8283938230156036,1520420877.601392
3.265987404217296,1.8311336494292774,1520420877.761368
3.2660720334993396,1.8313293660930372,1520420877.921518
3.265987465708705,1.831133622854248,1520420878.081347
3.2648383059545596,1.828471099517311,1520420878.241697
3.2644000954410792,1.8274525699493736,1520420878.401715
3.2642823034661697,1.8271782697129213,1520420878.561372
3.2642823034661697,1.8271782697129213,1520420878.721563
3.2642654760411824,1.8271390839648567,1520420878.881331
3.2642654760411824,1.8271390839648567,1520420879.041396
3.2642654760411824,1.8271390839648567,1520420879.201415
3.2642654760411824,1.8271390839648567,1520420879.361517
3.2642654760411824,1.8271390839648567,1520420879.521358
3.2642654760411824,1.8271390839648567,1520420879.681356
3.2642654760411824,1.8271390839648567,1520420879.841759
3.2642486486161952,1.827099898216792,1520420880.001356
3.2642486486161952,1.827099898216792,1520420880.16146
3.2642486486161952,1.827099898216792,1520420880.321506
3.2642486486161952,1.827099898216792,1520420880.481414
3.2642486486161952,1.827099898216792,1520420880.641396
3.2642486486161952,1.827099898216792,1520420880.801535
3.2642486486161952,1.827099898216792,1520420880.961398
3.2642486486161952,1.827099898216792,1520420881.121403
3.2642486486161952,1.827099898216792,1520420881.281453
3.2642486486161952,1.827099898216792,1520420881.441841
3.2642486486161952,1.827099898216792,1520420881.601557
3.2642486486161952,1.827099898216792,1520420881.761383
3.2642486486161952,1.827099898216792,1520420881.92136
3.2642486486161952,1.827099898216792,1520420882.081521
3.2642486486161952,1.827099898216792,1520420882.245575
3.2642486486161952,1.827099898216792,1520420882.401567
